Y,M,D,SR_MJ
2002,7,15,16.24145538
2002,7,16,18.78207223
2002,7,17,20.03691659
2002,7,18,10.41246976
2002,7,19,17.31459699
2002,7,20,21.45510013
2002,7,21,21.91322302
2002,7,22,14.81553982
2002,7,23,21.33106545
2002,7,24,20.1928459
2002,7,25,20.05173632
2002,7,26,21.6506561
2002,7,27,22.4541431
2002,7,28,22.16386973
2002,7,29,22.39454202
2002,7,30,19.9251243
2002,7,31,22.03757987
2002,8,1,21.1674041
2002,8,2,20.39613391
2002,8,3,17.19346182
2002,8,4,20.18543604
2002,8,5,16.37741028
2002,8,6,21.12262275
2002,8,7,20.51275873
2002,8,8,21.51695638
2002,8,9,21.21927315
2002,8,10,21.13003262
2002,8,11,20.95896141
2002,8,12,21.18222383
2002,8,13,21.10780302
2002,8,14,21.1896337
2002,8,15,20.42222952
2002,8,16,19.84490446
2002,8,17,19.66481255
2002,8,18,20.43092806
2002,8,19,19.56075229
2002,8,20,17.71634049
2002,8,21,19.5162931
2002,8,22,19.39258059
2002,8,23,10.66247213
2002,8,24,18.66093706
2002,8,25,18.48986586
2002,8,26,17.18089727
2002,8,27,13.81166433
2002,8,28,15.86419666
2002,8,29,17.87259197
2002,8,30,6.731056024
2002,8,31,17.81299089
2002,9,1,15.37353479
2002,9,2,18.0584829
2002,9,3,16.18410948
2002,9,4,12.70340641
2002,9,5,12.07131279
2002,9,6,6.66404508
2002,9,7,9.475605216
2002,9,8,17.31459699
2002,9,9,17.30718713
2002,9,10,17.17348741
2002,9,11,17.09165674
2002,9,12,16.55460268
2002,9,13,16.42380247
2002,9,14,15.39576438
2002,9,15,13.3126261
2002,9,16,12.6370398
2002,9,17,8.248145136
2002,9,18,15.6412564
2002,9,19,15.55201586
2002,9,20,15.3361633
2002,9,21,15.44054574
2002,9,22,15.2617425
2002,9,23,15.12063291
2002,9,24,13.99755526
2002,9,25,14.21308566
2002,9,26,12.30907278
2002,9,27,13.43215042
2002,9,28,14.07938594
2002,9,29,9.572255616
2002,9,30,12.242384
2002,10,1,14.15380674
2002,10,2,13.74465338
2002,10,3,8.136675008
2002,10,4,12.88188748
2002,10,5,11.20113702
2002,10,6,12.73304586
2002,10,7,12.82969626
2002,10,8,12.80005681
2002,10,9,12.53748989
2002,10,10,9.604150248
2002,10,11,12.42086507
2002,10,12,12.51010561
2002,10,13,12.45791439
2002,10,14,12.16796319
2002,10,15,11.73658024
2002,10,16,11.5506893
2002,10,17,11.5506893
2002,10,18,11.41666742
2002,10,19,10.53908178
2002,10,20,10.30099963
2002,10,21,10.53167192
2002,10,22,8.709489712
2002,10,23,4.70043112
2002,10,24,9.891846272
2002,10,25,9.38636468
2002,10,26,9.8100156
2002,10,27,8.731719304
2002,10,28,8.791320384
2002,10,29,4.871502328
2002,10,30,3.584763336
2002,10,31,9.572255616
2002,11,1,9.512654536
2002,11,2,9.348993192
2002,11,3,8.984621184
2002,11,4,8.999440912
2002,11,5,5.74908796
2002,11,6,8.396986752
2002,11,7,3.86762684
2002,11,8,2.357625424
2002,11,9,3.584763336
2002,11,10,3.956867376
2002,11,11,5.994579976
2002,11,12,3.599905232
2002,11,13,7.117657624
2002,11,14,6.66404508
2002,11,15,4.901463952
2002,11,16,3.337338312
2002,11,17,7.172104016
2002,11,18,4.514540184
2002,11,19,5.96494052
2002,11,20,6.969138176
2002,11,21,6.87989764
2002,11,22,4.544501808
2002,11,23,6.391168784
2002,11,24,5.19656984
2002,11,25,7.028417088
2002,11,26,6.66404508
2002,11,27,5.853470392
2002,11,28,6.448514688
2002,11,29,5.756819992
2002,11,30,5.93916708
2002,12,1,5.95366464
2002,12,2,5.80868904
2002,12,3,4.633742344
2002,12,4,4.00132656
2002,12,5,5.251016232
2002,12,6,4.224588984
2002,12,7,1.628881408
2002,12,8,1.918832608
2002,12,9,3.815435624
2002,12,10,3.019680664
2002,12,11,1.524821144
2002,12,12,5.430785976
2002,12,13,1.886937976
2002,12,14,0.580868904
2002,12,15,3.510664696
2002,12,16,1.703302216
2002,12,17,5.027753808
2002,12,18,4.6633818
2002,12,19,3.116331064
2002,12,20,4.075747368
2002,12,21,2.342805696
2002,12,22,1.420438712
2002,12,23,2.372445152
2002,12,24,3.569943608
2002,12,25,3.607315096
2002,12,26,1.190088592
2002,12,27,0.63950348
2002,12,28,1.271919264
2002,12,29,2.9236746
2002,12,30,0.957161128
2002,12,31,0.804775664
2003,1,1,3.86762684
2003,1,2,2.038034768
2003,1,3,4.945923136
2003,1,4,2.491647312
2003,1,5,6.180470912
2003,1,6,6.269711448
2003,1,7,6.292263208
2003,1,8,6.106372272
2003,1,9,3.906931336
2003,1,10,2.109878232
2003,1,11,3.101511336
2003,1,12,1.874373424
2003,1,13,4.678201528
2003,1,14,1.420438712
2003,1,15,6.069000784
2003,1,16,5.273245824
2003,1,17,6.307082936
2003,1,18,0.632093616
2003,1,19,5.920159168
2003,1,20,1.190088592
2003,1,21,1.762581128
2003,1,22,1.428170744
2003,1,23,6.676609632
2003,1,24,4.680456704
2003,1,25,2.550926224
2003,1,26,2.56606812
2003,1,27,1.086028328
2003,1,28,6.455924552
2003,1,29,4.470081
2003,1,30,1.80736248
2003,1,31,2.558658256
2003,2,1,1.509679248
2003,2,2,7.876363264
2003,2,3,4.960742864
2003,2,4,7.958193936
2003,2,5,6.582214408
2003,2,6,6.798066968
2003,2,7,8.359937432
2003,2,8,8.367347296
2003,2,9,9.342227664
2003,2,10,9.601250736
2003,2,11,9.839977224
2003,2,12,9.728184928
2003,2,13,2.038034768
2003,2,14,6.25489172
2003,2,15,7.492661176
2003,2,16,3.016781152
2003,2,17,6.72364616
2003,2,18,5.436907168
2003,2,19,7.83190408
2003,2,20,4.544501808
2003,2,21,4.804813552
2003,2,22,7.45980004
2003,2,23,9.705955336
2003,2,24,11.53554741
2003,2,25,11.49108822
2003,2,26,11.49108822
2003,2,27,10.15215802
2003,2,28,7.668242736
2003,3,1,9.222703336
2003,3,2,11.27523566
2003,3,3,8.914066392
2003,3,4,7.642147128
2003,3,5,4.745212472
2003,3,6,7.51940112
2003,3,7,2.848609456
2003,3,8,7.26649924
2003,3,9,4.425299648
2003,3,10,8.47140756
2003,3,11,9.758146552
2003,3,12,12.19760265
2003,3,13,4.455261272
2003,3,14,8.144084872
2003,3,15,4.09797696
2003,3,16,13.6850523
2003,3,17,14.51817875
2003,3,18,15.11322305
2003,3,19,15.56683559
2003,3,20,10.44984125
2003,3,21,10.05550762
2003,3,22,3.079281744
2003,3,23,15.48210541
2003,3,24,16.4547306
2003,3,25,3.1089212
2003,3,26,7.058378712
2003,3,27,13.29104084
2003,3,28,16.73469459
2003,3,29,16.54107162
2003,3,30,15.16380342
2003,3,31,10.6073814
2003,4,1,5.057393264
2003,4,2,6.693684536
2003,4,3,8.174046496
2003,4,4,12.18278292
2003,4,5,10.91827352
2003,4,6,8.263287032
2003,4,7,18.54914477
2003,4,8,18.23696398
2003,4,9,15.90156814
2003,4,10,16.70473297
2003,4,11,18.6535272
2003,4,12,12.31648264
2003,4,13,9.348993192
2003,4,14,7.647301816
2003,4,15,18.51048461
2003,4,16,14.45857767
2003,4,17,14.86773103
2003,4,18,17.35937834
2003,4,19,19.88807498
2003,4,20,17.5823186
2003,4,21,6.686274672
2003,4,22,7.117657624
2003,4,23,15.60775093
2003,4,24,7.575458352
2003,4,25,14.55522807
2003,4,26,11.42407728
2003,4,27,14.53525366
2003,4,28,10.53682661
2003,4,29,14.13866485
2003,4,30,6.3144928
2003,5,1,20.68382994
2003,5,2,18.22214425
2003,5,3,9.958857216
2003,5,4,10.90345379
2003,5,5,15.62643667
2003,5,6,18.24437384
2003,5,7,19.24083946
2003,5,8,17.44120902
2003,5,9,7.846723808
2003,5,10,17.31459699
2003,5,11,13.85612351
2003,5,12,10.05550762
2003,5,13,21.93351961
2003,5,14,22.28307189
2003,5,15,21.99279852
2003,5,16,23.06400712
2003,5,17,22.17127959
2003,5,18,20.89227263
2003,5,19,23.22766846
2003,5,20,21.22668302
2003,5,21,18.41544505
2003,5,22,21.11521289
2003,5,23,22.54338363
2003,5,24,19.56816215
2003,5,25,11.91506131
2003,5,26,20.12615713
2003,5,27,22.71445484
2003,5,28,22.48378255
2003,5,29,20.03691659
2003,5,30,14.01076415
2003,5,31,18.27562414
2003,6,1,21.68061773
2003,6,2,23.15324766
2003,6,3,23.20447237
2003,6,4,23.06465146
2003,6,5,23.40002834
